country_code,country_name,population,continent,gni_total,top10_share,deaths_violence,trust,gni_per_capita
ABW,Aruba,104000.0,North America,2730000000.0,,,,26250.0
AFG,Afghanistan,34414000.0,Asia,20648400000.0,,1.546669770742224,,600.0
AGO,Angola,27884000.0,Africa,126035680000.0,,0.4830666689784841,,4520.0
ALB,Albania,2891000.0,Europe,12691490000.0,22.9,0.3161942847629793,,4390.0
AND,Andorra,78000.0,Europe,,,0.1004181322479647,,
ARE,United Arab Emirates,9263000.0,Asia,397012180000.0,,0.4426309947822701,,42860.0
ARG,Argentina,43075000.0,South America,541452750000.0,30.8,0.8217610472278672,22.64706,12570.0
ARM,Armenia,2926000.0,Asia,11733260000.0,26.7,0.3949065111981506,10.01821,4010.0
ASM,American Samoa,56000.0,Oceania,,,0.8854753995475645,,
ATG,Antigua and Barbuda,94000.0,North America,1207900000.0,,0.8437994902415461,,12850.0
AUS,Australia,23932000.0,Oceania,1447886000000.0,26.5,0.1915346236049143,54.43383000000001,60500.0
AUT,Austria,8679000.0,Europe,411818550000.0,24.1,0.0843987195878315,,47450.0
AZE,Azerbaijan,9623000.0,Asia,63223110000.0,,0.4951908237769911,16.16766,6570.0
BDI,Burundi,10160000.0,Africa,2641600000.0,31.3,0.076084381037545,,260.0
BEL,Belgium,11288000.0,Europe,514055520000.0,22.4,0.1392038919454822,,45540.0
BEN,Benin,10576000.0,Africa,12479680000.0,37.6,0.7159105475800248,,1180.0
BFA,Burkina Faso,18111000.0,Africa,12677700000.0,29.6,1.189540360452103,,700.0
BGD,Bangladesh,156256000.0,Asia,190632320000.0,26.9,0.2773967675289318,,1220.0
BGR,Bulgaria,7200000.0,Europe,53640000000.0,28.8,0.1655787761807041,,7450.0
BHR,Bahrain,1372000.0,Asia,30979760000.0,,0.6303695128627705,33.5,22580.0
BIH,Bosnia and Herzegovina,3429000.0,Europe,17865090000.0,25.8,0.2236419011419014,,5210.0
BLR,Belarus,9439000.0,Europe,63335690000.0,22.2,0.535968279769933,32.80737,6710.0
BLZ,Belize,361000.0,North America,1588400000.0,,5.655002534448308,,4400.0
BMU,Bermuda,64000.0,North America,6471680000.0,,0.3792499073465769,,101120.0
BOL,Bolivia,10870000.0,South America,32175200000.0,33.4,1.027140403939374,,2960.0
BRA,Brazil,204472000.0,South America,2083569680000.0,40.5,4.730777626848629,6.52759,10190.0
BRB,Barbados,285000.0,North America,4485900000.0,,1.1574680336581091,,15740.0
BRN,Brunei Darussalam,415000.0,Asia,16122750000.0,,0.3409746637865215,,38850.0
BTN,Bhutan,728000.0,Asia,1834560000.0,30.7,0.2327960091360984,,2520.0
BWA,Botswana,2121000.0,Africa,14507640000.0,,1.2790451977446622,,6840.0
CAF,Central African Republic,4493000.0,Africa,1797200000.0,,0.5572084375152254,,400.0
CAN,Canada,36027000.0,North America,1713804390000.0,25.3,0.1948189105091217,,47570.0
CHE,Switzerland,8297000.0,Europe,710803990000.0,25.5,0.0816210164434447,,85670.0
CHL,Chile,17969000.0,South America,253901970000.0,38.0,0.7112444094874174,12.64016,14130.0
CHN,China,1406848000.0,Asia,11170373120000.0,31.4,0.1390780052111342,62.69384,7940.0
CIV,Cote d'Ivoire,23226000.0,Africa,38555160000.0,32.1,1.2786607378862862,,1660.0
CMR,Cameroon,23298000.0,Africa,33549120000.0,35.0,0.3803950611076465,,1440.0
COL,Colombia,47521000.0,South America,348328930000.0,39.6,6.423809493698819,4.12783,7330.0
COM,Comoros,777000.0,Africa,1072260000.0,33.4,1.2387908996851775,,1380.0
CPV,Cabo Verde,525000.0,Africa,1685250000.0,,2.32306518092783,,3210.0
CRI,Costa Rica,4848000.0,North America,50419200000.0,36.7,2.055456775533334,,10400.0
CUB,Cuba,11325000.0,North America,81879750000.0,,0.6786549513726584,,7230.0
CUW,Curacao,160000.0,North America,3139200000.0,,,,19620.0
CYM,Cayman Islands,62000.0,North America,2750940000.0,,,,44370.0
CYP,Cyprus,1161000.0,Europe,30139560000.0,28.8,0.2631522730202313,9.02708,25960.0
CZE,Czech Republic,10601000.0,Europe,194740370000.0,22.1,0.1095817593457696,,18370.0
DEU,Germany,81787000.0,Europe,3746662470000.0,24.9,0.0705168373887403,42.03041,45810.0
DJI,Djibouti,914000.0,Africa,2495220000.0,34.1,1.3735406533077554,,2730.0
DMA,Dominica,71000.0,North America,487770000.0,,1.17285428618015,,6870.0
DNK,Denmark,5689000.0,Europe,344241390000.0,23.7,0.0853921513365235,,60510.0
DOM,Dominican Republic,10282000.0,North America,67655560000.0,34.6,3.49926215443302,,6580.0
DZA,Algeria,39728000.0,Africa,192680800000.0,22.9,0.2611745031044256,17.92863,4850.0
ECU,Ecuador,16212000.0,South America,96785640000.0,35.8,2.6494948275583763,7.1607,5970.0
ERI,Eritrea,3343000.0,Africa,,,1.5876791706889757,,
ESP,Spain,46672000.0,Europe,1326884960000.0,26.0,0.0795771850297549,19.01944,28430.0
EST,Estonia,1315000.0,Europe,24564200000.0,26.2,0.3868805058462688,38.51175,18680.0
ETH,Ethiopia,100835000.0,Africa,60501000000.0,27.4,1.2988228694150872,,600.0
FIN,Finland,5481000.0,Europe,258429150000.0,22.0,0.1584263793030859,,47150.0
FJI,Fiji,869000.0,Oceania,4431900000.0,29.4,0.499406316329913,,5100.0
FRA,France,64453000.0,Europe,2649018300000.0,26.0,0.0940968710004746,,41100.0
